	group	category	axis1	axis2	mother_daughter	color	shape
1	4738B1	I	0.476079	-0.076406	daughter	#e31a1c	21
2	4738B2	I	0.298988	-0.265147	daughter	#e31a1c	21
3	4738B3	I	0.375221	-0.204467	daughter	#e31a1c	21
4	4738B4	I	0.433946	-0.135605	daughter	#e31a1c	21
5	4738BB	I	0.471517	-0.083355	daughter	#e31a1c	21
6	B82311	I	0.476275	-0.076908	mother	#e31a1c	24
7	B82312	I	0.477621	-0.075293	mother	#e31a1c	24
8	B82313	I	0.478185	-0.075376	mother	#e31a1c	24
9	B82314	I	0.479727	-0.075601	mother	#e31a1c	24
10	B8231B	I	0.478007	-0.075718	mother	#e31a1c	24
11	5251Q1	II	-0.193769	-0.414297	daughter	#ff7f00	21
12	5251Q2	II	-0.24186	-0.40507	daughter	#ff7f00	21
13	5251Q3	II	-0.003881	-0.206014	daughter	#ff7f00	21
14	5251Q4	II	-0.388119	-0.319628	daughter	#ff7f00	21
15	5251QB	II	0.182849	-0.300586	daughter	#ff7f00	21
16	Q55191	II	-0.233326	-0.373816	mother	#ff7f00	24
17	Q55192	II	-0.337224	-0.413073	mother	#ff7f00	24
18	Q55193	II	-0.362665	-0.389323	mother	#ff7f00	24
19	Q55194	II	-0.460281	-0.232113	mother	#ff7f00	24
20	Q5519B	II	-0.420771	-0.344758	mother	#ff7f00	24
21	3946N1	III	-0.413399	0.170689	daughter	#33a02c	21
22	3946N2	III	-0.399463	0.240784	daughter	#33a02c	21
23	3946N3	III	-0.496662	-0.095723	daughter	#33a02c	21
24	3946N4	III	-0.4184	0.298682	daughter	#33a02c	21
25	3946NB	III	-0.403711	0.175724	daughter	#33a02c	21
26	N84181	III	-0.317788	0.390986	mother	#33a02c	24
27	N84182	III	-0.323964	0.476312	mother	#33a02c	24
28	N84183	III	-0.430891	0.258923	mother	#33a02c	24
29	N8418B	III	-0.349244	0.41341	mother	#33a02c	24
30	2578D1	IV	-0.059884	-0.418661	daughter	#1f78b4	21
31	2578D2	IV	-0.391718	-0.399397	daughter	#1f78b4	21
32	2578D3	IV	0.466937	-0.091967	daughter	#1f78b4	21
33	2578DB	IV	0.45266	-0.109999	daughter	#1f78b4	21
34	D64461	IV	0.422134	0.047398	mother	#1f78b4	24
35	D64462	IV	0.384696	0.102871	mother	#1f78b4	24
36	D64463	IV	0.311697	0.181741	mother	#1f78b4	24
37	D64464	IV	0.254513	0.236311	mother	#1f78b4	24
38	D6446B	IV	0.4334	0.028892	mother	#1f78b4	24
39	6136T1	V	0.2081	0.052758	daughter	#cab2d6	21
40	6136T2	V	0.314021	-0.159613	daughter	#cab2d6	21
41	6136T3	V	0.171528	0.051273	daughter	#cab2d6	21
42	6136TB	V	0.039144	0.111323	daughter	#cab2d6	21
43	T49421	V	0.478199	-0.074935	mother	#cab2d6	24
44	T49422	V	0.477512	-0.075117	mother	#cab2d6	24
45	T49423	V	0.477148	-0.075261	mother	#cab2d6	24
46	T4942B	V	0.477211	-0.075221	mother	#cab2d6	24
47	1401A1	VI	-0.045217	0.411866	daughter	#a6cee3	21
48	1401A2	VI	0.223103	0.250372	daughter	#a6cee3	21
49	1401A3	VI	0.159984	0.300962	daughter	#a6cee3	21
50	1401AB	VI	0.27654	0.19167	daughter	#a6cee3	21
51	A71301	VI	0.477184	-0.074657	mother	#a6cee3	24
52	A71302	VI	0.476841	-0.075211	mother	#a6cee3	24
53	A71303	VI	0.476988	-0.075077	mother	#a6cee3	24
54	A7130B	VI	0.477222	-0.071725	mother	#a6cee3	24
55	3691F1	VII	-0.230958	0.424506	daughter	#b2df8a	21
56	3691F2	VII	-0.343064	0.348227	daughter	#b2df8a	21
57	3691F3	VII	-0.240258	0.449443	daughter	#b2df8a	21
58	3691FB	VII	0.478027	-0.074851	daughter	#b2df8a	21
59	F70861	VII	0.474957	-0.079171	mother	#b2df8a	24
60	F70862	VII	0.476628	-0.076884	mother	#b2df8a	24
61	F70863	VII	0.474746	-0.080143	mother	#b2df8a	24
62	F7086B	VII	-0.348426	0.402837	mother	#b2df8a	24
63	5005UB	VIII	-0.472158	-0.376837	daughter	#fdbf6f	21
64	U1240B	VIII	0.47166	-0.084151	mother	#fdbf6f	24
65	6806S1	IX	-0.486184	-0.365761	daughter	#6a3d9a	21
66	6806S2	IX	-0.488488	-0.349319	daughter	#6a3d9a	21
67	6806S3	IX	-0.48284	-0.368521	daughter	#6a3d9a	21
68	6806S4	IX	-0.479934	-0.370791	daughter	#6a3d9a	21
69	6806SB	IX	-0.485541	-0.367336	daughter	#6a3d9a	21
70	S58881	IX	-0.11415	0.162092	mother	#6a3d9a	24
71	S58882	IX	-0.076732	0.158378	mother	#6a3d9a	24
72	S58884	IX	-0.130112	0.144516	mother	#6a3d9a	24
73	9385EB	X	-0.485857	-0.361315	daughter	#b15928	21
74	E4344B	X	-0.108956	0.147267	mother	#b15928	24
75	9565L1	XI	-0.474364	-0.375308	daughter	gray	21
76	9565L2	XI	-0.475462	-0.3754	daughter	gray	21
77	9565L3	XI	-0.475862	-0.375392	daughter	gray	21
78	9565L4	XI	-0.476706	-0.374696	daughter	gray	21
79	9565LB	XI	-0.482391	-0.366593	daughter	gray	21
