Sample	Otu00001	Otu00002	Otu00003	Otu00004	Otu00005	Otu00006	Otu00007	Otu00008	Otu00009	Otu00010	Otu00011	Otu00012	Otu00013	Otu00014	Otu00015	Otu00016	Otu00017	Otu00018	Otu00019	Otu00020	Otu00021	Otu00022	Otu00023	Otu00024	Otu00025	Otu00026	Otu00027	Otu00028	Otu00029	Otu00030	Otu00031	Otu00032	Otu00033	Otu00034	Otu00035	Otu00036	Otu00037	Otu00038	Otu00039	Otu00040	Otu00041	Otu00043	Otu00044	Otu00045	Otu00046	Otu00047	Otu00050	Otu00051	Otu00052	Otu00053	Otu00054	Otu00055	Otu00059	Otu00064	Otu00067	Otu00069	Otu00079
B8231B	0.956880285	0.000489203	0	0.000139772	0	0	0	0	0	0	0	0	0	0	0	0	0.000209658	0	0	0	0	0	0	0.000768747	0	0.007967014	0	0	0	0.02928227	0	0.000139772	0	0	0	0.000419317	0	0	0	6.99E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B82311	0.979111223	0.003113231	0	0	0	0	0.00015064	0	0	0	0.000451921	0	0	0	0	0.000100427	0	0	0	0	0	0	0	0.000954055	0	0.007532011	0	0	0	0.005925182	0	0	0	0	0	0.000251067	0	0	0	0	0	0	0	0.000100427	0	0	0	0	0	0	0	0	0	0	0	0	0
B82312	0.968676425	0.000255912	5.12E-05	0	0	0.000614188	0	0	0	0	0.002507933	0	0	0	0	0	0	0	0	5.12E-05	0	0	0	0.001740199	0	0.019807555	0	0	0	0.001586652	0	0.000153547	0	0	0	0.000767735	0	0	0	0.000102365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B82313	0.953330156	0.000216666	0	4.33E-05	0	0	0.000173333	0	0	0	0.00013	0.001126663	0	0	0	0.003899987	0.002513325	0	0	0	0.000606665	0.000866664	0.002513325	0.001646661	0	0.015166616	0	0	0	0.002599991	8.67E-05	0	0.000259999	0.000173333	0	0.000216666	0	0.001819994	0.000173333	0	0.000909997	0.000996663	0.000216666	0.001603328	0	0	0	0.000259999	0.000823331	0	0	0	0	0	0	0	0
B82314	0.902568684	0	8.93E-05	8.93E-05	0	0	0.000134018	0	0	0	0.000938128	0.000848783	0	0	0	0.001876256	8.93E-05	0	0	0	0.000134018	0.001072147	0.000670092	0.001742238	0	0.00500335	0	0	0	0.004958678	0	0	0.000446728	0.000268037	0	0.000580746	0	0.00241233	0.000223364	0	0	0.047531829	0.000223364	0.000670092	0	0	0	0.000178691	0.003082421	0	0	0	0	0	0	0	0
4738BB	0.976905467	0.01548613	0.000269324	0.000807972	0	0	6.73E-05	0	0	6.73E-05	0.000134662	0.000134662	0	0	0	0.000201993	0	0	0	0.000269324	0	0.000201993	0	0	0	0.000134662	0	0	0	0.003299219	0	0	0	0	0	0	0.000134662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4738B1	0.989381087	0.00263902	0.000565504	0.000377003	0	0.000188501	0.000125668	0	0.000251335	6.28E-05	0	0	6.28E-05	0	0.00050267	0.000628338	0	0	0	0.000314169	0	0	0.000314169	0	0	6.28E-05	0	0.000125668	0	0.003016023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4738B2	0.648575227	0.267787989	0.000578001	0.00456621	0	5.78E-05	0.0001156	0	0	0	0.001213803	0.002196405	0	0.000346801	5.78E-05	0.003294607	0.007109416	0	0	0.012022426	0.0001734	0.000289001	0.006184614	0	0	0.010577423	0	0	0	0.001040402	0	0	0	0	0	0	0.001618404	0	0	0	5.78E-05	5.78E-05	0	5.78E-05	0	0	0	0	0.0001734	0	0	0	0	0	0	0	0
4738B3	0.783048703	0.200189753	4.52E-05	0.003885425	0	4.52E-05	0.000542152	0	0	0	0.000135538	0	0	0.001084305	0	0.00072287	0.000180717	0	0	0.001897533	4.52E-05	0	0.000361435	0	0	0	0	0	0	0.004292039	0	0	0	4.52E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000406614	0	0	0	0	0	0	0
4738B4	0.875841584	0.102046205	0.000132013	0.001056106	0	0	0.000660066	0	0	0	0.000132013	0.000330033	0	0.001386139	0	0.004554455	0.00019802	0	0	0.000792079	0.00019802	0.000264026	0.001452145	0	0	0.000330033	0	0	0	0.001320132	0	0	0	0.000990099	0	0	0.00039604	0	6.60E-05	0	0	0.00019802	0	0	0	0	0	0	0	0.000726073	0	0	0	0	0	0	0
Q5519B	0.096995708	0.749422252	0.111455926	0.001716738	0.0158138	0.000330142	0.001518653	0	6.60E-05	0	0.001155497	0.000594256	0	0.000594256	0	0.000594256	0	0	0	0.004258831	0.000132057	0.003103334	0.000693298	0	0	0	0	0	0.004060746	0	0	0	0.000726312	6.60E-05	0	6.60E-05	0.000132057	0	0.000495213	0	0	0	6.60E-05	0	0	0	0	0	0	6.60E-05	0	0	0	0	0	0	0
Q55191	0.264768989	0.598531445	0.071520526	0.023434892	0.012992896	7.15E-05	0.001692652	0	7.15E-05	0	0.000882086	0.000762886	0	0.000739045	0	0.000596004	0.000500644	0	0	0.00948839	0.000262242	0.000977447	0.000262242	9.54E-05	0	0	0	4.77E-05	4.77E-05	0	0	0	0.000977447	7.15E-05	0	0.000143041	7.15E-05	0.000357603	9.54E-05	7.15E-05	0.000476804	0.000262242	0.000190721	0.000739045	0	0	0	4.77E-05	7.15E-05	4.77E-05	2.38E-05	0	4.77E-05	0	0.000119201	0	0
Q55192	0.185903898	0.766773073	0.002548163	0.007616487	0.000812052	0	0.002044131	0	0	2.80E-05	0.001064068	0.001456093	0	0.00218414	0	0.002128136	5.60E-05	0	0	0.010332661	0.00078405	0.002072133	0.001288082	5.60E-05	0	0	0	8.40E-05	5.60E-05	0	0	0	0.000140009	0.000392025	0	2.80E-05	2.80E-05	0.000560036	0.000140009	0	0.000364023	0	8.40E-05	0.000392025	0	5.60E-05	2.80E-05	0.000112007	0	2.80E-05	8.40E-05	0	0	0	0	0	0
Q55193	0.158297943	0.746939795	0.038637688	0.03122658	0.010658673	0	0.000666167	0.000166542	0	0	0.000333084	0.000666167	0	0.000582896	0	0	0	0	8.33E-05	0.004163544	0.000249813	0.000499625	0.000416354	0	0	0.000749438	0	0	0	0	0	0	0	0	0	0	0	0.000416354	8.33E-05	0	0.000166542	0.000416354	0	8.33E-05	0	0	0	0	0	0	0.000249813	0	0.000166542	0	0	0	0
Q55194	0.05406688	0.62817552	0.248853175	0.007023316	0.028757632	0	6.33E-05	0	0	0	0.000980733	0.000727641	0	6.33E-05	0	0.000474548	3.16E-05	0	0.007118226	0.001265462	9.49E-05	0.00101237	0.000316366	0.002436015	0	0	0	0	0.004998576	0	0	0.000126546	0	6.33E-05	0	0.001202189	0	0	0	0	0	0.002657471	0.000158183	0	0	0	0	0	0.001297099	0	0.000158183	0	0.000506185	0	0	0	0
5251QB	0.521461146	0.322453724	0.001207189	0.089466154	0.008092641	0.000536529	0.024099079	0.000760082	0.000134132	0.000134132	0.004292229	0.003889833	0.000134132	0.000312975	0.000178843	0.006304212	8.94E-05	0	0	0.005857105	0.001699007	0	4.47E-05	0	0	0	0	0	0	0	4.47E-05	0	0	0.000134132	0	4.47E-05	0	0	8.94E-05	0	0.003308593	0	0	0	0	0	0	0	4.47E-05	4.47E-05	0	0	0	0	0	0	0
5251Q1	0.296721682	0.598417364	4.52E-05	0.07691612	0.001763509	9.04E-05	0.000180873	4.52E-05	0	0	0.004205291	0.002622654	0	0	0	0.000180873	4.52E-05	0	0	0.016911598	0.000135655	0	0	0	0	4.52E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000904364	4.52E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5251Q2	0.248645161	0.594924731	0.00111828	0.038967742	0.005892473	0.000516129	0.006967742	0.000258065	4.30E-05	0	0.045462366	0.025247312	0.000860215	0.000516129	0	0.00283871	0	0	0	0.018924731	0.003010753	0	0	0	0.000129032	0	0.000387097	4.30E-05	0	0	0.000129032	0	0	0	0.000172043	0	0	0	0	0	0.001548387	0.000172043	0	0	0	0	0.000129032	0	4.30E-05	0	0	0	0	0	0	0	0
5251Q3	0.309272849	0.277740716	0.000177896	0.374338448	0.008316656	4.45E-05	0.002179231	0	4.45E-05	0.000355793	0.001378697	0.002401601	0	8.89E-05	0	0.000711586	0	0	0	0.020991772	0.000133422	0	0	0	0	0	0	0	0	0	0	0	8.89E-05	0	0	0	0	0	0	0	0	4.45E-05	4.45E-05	0	0	0	0	0	0	0	0	0	0	0	0.000133422	0	0
5251Q4	0.086079467	0.495915532	0.000388997	0.195332037	0.004167824	5.56E-05	0.009447069	5.56E-05	0.000166713	0	0.086746318	0.029063629	0	0.001055849	0	0.015059739	0	0	0	0.053181439	0.006835232	5.56E-05	0	0	0	5.56E-05	0	0	0	0	0	0	0.000222284	0.000166713	0	0	0	0	0	0	0.002000556	0.002500695	0.000111142	0	0	0	0.000277855	0	0	0	0	0	0.000333426	0	0	0	0
N8418B	0	0.123605668	0.187330419	0	0	0.192643955	0.159066928	0.165360265	0.040737112	0.068510702	0.007838408	0.000301477	0	0	0	0.000226108	0.000113054	3.77E-05	0	0	0.014659331	0.000150739	0.000376847	0	0	0	0.00768767	0.008102201	0.006255653	0	0	3.77E-05	0.010815496	0	0	0.003052457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000188423	0	0	0	0	0	0
