sample	pair
4738B1	I
4738B2	I
4738B3	I
4738B4	I
4738BB	I
B82311	I
B82312	I
B82313	I
B82314	I
B8231B	I
5251Q1	II
5251Q2	II
5251Q3	II
5251Q4	II
5251QB	II
Q55191	II
Q55192	II
Q55193	II
Q55194	II
Q5519B	II
3946N1	III
3946N2	III
3946N3	III
3946N4	III
3946NB	III
N84181	III
N84182	III
N84183	III
N8418B	III
2578D1	IV
2578D2	IV
2578D3	IV
2578DB	IV
D64461	IV
D64462	IV
D64463	IV
D64464	IV
D6446B	IV
6136T1	V
6136T2	V
6136T3	V
6136TB	V
T49421	V
T49422	V
T49423	V
T4942B	V
1401A1	VI
1401A2	VI
1401A3	VI
1401AB	VI
A71301	VI
A71302	VI
A71303	VI
A7130B	VI
3691F1	VII
3691F2	VII
3691F3	VII
3691FB	VII
F70861	VII
F70862	VII
F70863	VII
F7086B	VII
5005UB	VIII
U1240B	VIII
6806S1	IX
6806S2	IX
6806S3	IX
6806S4	IX
6806SB	IX
S58881	IX
S58882	IX
S58884	IX
9385EB	X
E4344B	X
9565L1	XI
9565L2	XI
9565L3	XI
9565L4	XI
9565LB	XI
L88951	XI
L88952	XI
L88953	XI
L88954	XI
L8895B	XI
8911J1	XII
8911J2	XII
8911J4	XII
8911JB	XII
J63291	XII
J63293	XII
J6329B	XII
4302P1	XIII
4302P2	XIII
4302P3	XIII
4302P4	XIII
4302PB	XIII
P89821	XIII
P89822	XIII
P89823	XIII
P89824	XIII
P8982B	XIII
